EC 46.pdf timeline — 285 distinct documents
==================================================================================================================================
  #  DATE          DOC NO         NATURE                           SURVEY(S)                        EXTENT | CONSIDERATION
==================================================================================================================================
197  05-Sep-2008   7967/2008      உரிமை மாற்றம்                    N/A                              1200 சதுரடி | 26,400/-
198  05-Sep-2008   7968/2008      உரிமை மாற்றம்                    N/A                              N/A
199  05-Sep-2008   7995/2008      உரிமை மாற்றம்                    N/A                              1200 சதுரடி | 26,400/-
200  05-Sep-2008   7996/2008      உரிமை மாற்றம்                    N/A                              1200 சதுரடி | 26,400/-
201  05-Sep-2008   7997/2008      உரிமை மாற்றம்                    N/A                              1200 சதுரடி | 26,400/-
202  16-Sep-2008   8331/2008      உரிமை மாற்றம்                    N/A                              1200 சதுரடி | 26,400/-
203  16-Sep-2008   8332/2008      உரிமை மாற்றம்                    N/A                              N/A
204  16-Sep-2008   8334/2008      உரிமை மாற்றம்                    N/A                              1200 சதுரடி | 26,400/-
205  16-Sep-2008   8338/2008      உரிமை மாற்றம்                    N/A                              1200 சதுரடி | 26,400/-
206  17-Sep-2008   8398/2008      உரிமை மாற்றம்                    N/A                              N/A
207  17-Sep-2008   8399/2008      உரிமை மாற்றம்                    N/A                              1200 சதுரடி | 26,400/-
208  17-Sep-2008   8400/2008      உரிமை மாற்றம்                    N/A                              N/A
209  24-Sep-2008   8610/2008      உரிமை மாற்றம்                    N/A                              1200 ச அடி | 26,400/-
210  24-Sep-2008   8611/2008      உரிமை மாற்றம்                    N/A                              1200 சதுரடி | 26,400/-
211  24-Sep-2008   8633/2008      உரிமை மாற்றம்                    N/A                              1200 சதுரடி | 26,400/-
212  24-Sep-2008   8640/2008      உரிமை மாற்றம்                    46/2                             1200 சதுரடி | 26,400/-
213  24-Sep-2008   8643/2008      உரிமை மாற்றம்                    46/2                             1200 சதுரடி | 26,400/-
214  26-Sep-2008   8710/2008      உரிமை மாற்றம்                    45/3, 46/1A                      1200 ச அடி | 26,400/-
215  26-Sep-2008   8711/2008      உரிமை மாற்றம்                    46/2                             1200 சஅடி | 26,400/-
216  26-Sep-2008   8926/2008      உரிமை மாற்றம்                    45/4, 46/1C                      1200 ச அடி | 26,400/-
217  03-Oct-2008   8922/2008      உரிமை மாற்றம்                    45/4, 46/1C                      1200 ச அடி | 26,400/-
218  17-Oct-2008   9309/2008      உரிமை மாற்றம்                    45/4, 46/1B, 46/1C               1200 ச அடி | 26,400/-
219  17-Oct-2008   9316/2008      உரிமை மாற்றம்                    45/4, 46/1D                      1200 ச அடி | 26,400/-
220  17-Oct-2008   9317/2008      உரிமை மாற்றம்                    45/4, 46/1D                      1200 ச அடி | 26,400/-
221  17-Oct-2008   9318/2008      உரிமை மாற்றம்                    46/1A                            1200 ச அடி | 26,400/-
222  17-Oct-2008   9334/2008      உரிமை மாற்றம்                    46/2                             1200 ச அடி | 26,400/-
223  17-Oct-2008   9335/2008      உரிமை மாற்றம்                    46/2                             1200 ச அடி | 26,400/-
224  17-Oct-2008   9336/2008      உரிமை மாற்றம்                    46/2                             1200 ச அடி | 26,400/-
225  17-Oct-2008   9337/2008      உரிமை மாற்றம்                    46/2                             1200 ச அடி | 26,400/-
226  17-Oct-2008   9339/2008      உரிமை மாற்றம்                    46/2                             1200 சஅடி | 26,400/-
227  20-Oct-2008   9389/2008      உரிமை மாற்றம்                    46/2                             1200 ச அடி | 26,400/-
228  20-Oct-2008   9403/2008      உரிமை மாற்றம்                    46/2                             1200 ச அடி | 26,400/-
229  20-Oct-2008   9404/2008      உரிமை மாற்றம்                    46/1D                            1200 ச அடி | 26,400/-
230  20-Oct-2008   9411/2008      உரிமை மாற்றம்                    46/1D                            2021 ச அடி | 44,462/-
231  20-Oct-2008   9412/2008      உரிமை மாற்றம்                    46/1A                            1200 சஅடி | 26,400/-
232  20-Oct-2008   9413/2008      உரிமை மாற்றம்                    46/1A                            1200 ச அடி | 26,400/-
233  29-Oct-2008   10332/2008     உரிமை மாற்றம்                    46/1D                            1200 ச அடி | 26,400/-
234  03-Nov-2008   9759/2008      உரிமை மாற்றம்                    N/A                              1200 சதுரடி | 26,400/-
235  13-Nov-2008   10108/2008     உரிமை மாற்றம்                    46/2                             1200 சதுரடி | 26,400/-
236  13-Nov-2008   10109/2008     உரிமை மாற்றம்                    46/1D                            1200 சதுரடி | 26,400/-
237  13-Nov-2008   10114/2008     உரிமை மாற்றம்                    46/1D                            1200 ச அடி | 26,400/-
238  21-Nov-2008   10326/2008     உரிமை மாற்றம்                    46/1B                            1200 ச அடி | 26,400/-
239  21-Nov-2008   10327/2008     உரிமை மாற்றம்                    45/4, 46/1B                      1200 சஅடி | 26,400/-
240  21-Nov-2008   10328/2008     உரிமை மாற்றம்                    46/2                             1200 ச அடி | 26,400/-
241  21-Nov-2008   10330/2008     உரிமை மாற்றம்                    46/2                             1200 சஅடி | 26,400/-
